pl_name,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,st_mass,st_rad,st_teff,st_met,pl_masse,log_mass,log_radius,log_period,mass_radius_ratio
HD 2039 b,1999.1507,12.7,1120.0,2.2,1.23,1.19,5945.0,0.3,1999.1507,3.300845533343506,1.1038037209559568,3.0492180226701815,157.4134409448819
HAT-P-8 b,406.8224,15.6926,3.07634,0.04496,1.27,1.57,6200.0,0.01,406.8224,2.6094048575461057,1.1956949048428895,0.488034332418008,25.924473955877293
K2-43 b,18.5,4.51,3.471149,0.03784,0.571,0.542,3840.6,,18.5,1.2671717284030137,0.6541765418779605,0.5404732562784241,4.1019955654102
Kepler-1753 b,5.59,2.22678077,16.00460052,0.1179,0.86,0.769,5180.0,0.0,5.59,0.7474118078864233,0.34767746217731693,1.2042448384848483,2.5103504014901294
Kepler-1176 b,6.57,2.45,24.1738579,0.1589,1.01,1.02,5844.0,-0.01,6.57,0.8175653695597808,0.3891660843645325,1.3833459648876307,2.6816326530612242
K2-126 b,4.54,1.97,7.385655,0.0656,0.69,0.65,4339.0,0.02,4.54,0.6570558528571039,0.2944662261615929,0.8683890169494466,2.3045685279187818
Kepler-1263 b,1.55,1.14,4.55139967,0.0499,0.84,0.8,5213.0,-0.03,1.55,0.1903316981702915,0.05690485133647256,0.6581449736857713,1.3596491228070178
Kepler-1416 b,0.615,0.88,1.49514952,0.0257,1.09,1.15,6019.0,0.03,0.615,-0.21112488422458328,-0.05551732784983137,0.17468462574668978,0.6988636363636364
Kepler-1542 c,0.208,0.65,2.89223021,0.0387,0.94,0.99,5564.0,0.06,0.208,-0.6819366650372385,-0.18708664335714442,0.4612328581085275,0.31999999999999995
K2-85 b,3.2,1.4,0.68453862616,0.013,0.7,0.71,4232.0,0.14,3.2,0.505149978319906,0.146128035678238,-0.164602041094849,2.285714285714286
Kepler-368 c,14.3,3.88,72.379334,0.36,1.165,2.019,5502.0,0.03,14.3,1.1553360374650619,0.5888317255942073,1.859614582620541,3.6855670103092786
K2-123 b,8.05,2.76,30.951524,0.1649,0.62,0.59,4035.0,0.03,8.05,0.9057958803678685,0.4409090820652177,1.4906820377986443,2.916666666666667
Kepler-770 b,5.9,2.3,18.92540274,0.1694,0.94,0.92,5598.0,-0.01,5.9,0.7708520116421442,0.36172783601759284,1.2770451302275172,2.565217391304348
Kepler-1399 b,2.1,1.25,1.638653058,0.0276,0.97,0.96,5735.0,-0.03,2.1,0.3222192947339193,0.09691001300805642,0.2144870127860189,1.6800000000000002
K2-107 b,266.9772,15.98,3.313959,0.0475,1.3,1.81,6061.0,0.14,266.9772,2.426474173960119,1.2035767749779727,0.520347131064638,16.706958698372965
K2-45 b,36.4,6.71,1.7292684,0.0224,0.503,0.445,4103.0,,36.4,1.561101383649056,0.8267225201689921,0.237862405415315,5.424739195230998
K2-127 b,52.9,8.37,3.588163,0.0411,0.72,0.66,4575.0,-0.11,52.9,1.7234556720351857,0.92272545799326,0.5548721635784737,6.320191158900837
K2-195 b,9.96,3.13,15.852975,0.1208,0.94,0.99,5713.0,-0.1,9.96,0.9982593384236987,0.49554433754644844,1.200110774745822,3.1821086261980835
K2-80 c,2.76,1.47,5.605,0.0596,0.9,0.87,5441.0,0.07,2.76,0.4409090820652177,0.1673173347481761,0.748575616930992,1.8775510204081631
K2-229 c,7.0,2.03,8.32727,0.0769,0.87,0.79,5315.0,-0.09,7.0,0.8450980400142568,0.3074960379132129,0.920502646273418,3.4482758620689657
HAT-P-3 b,206.5895,10.53646,2.8997,0.03866,1.06,0.87,5185.0,0.27,206.5895,2.3151082445410927,1.0226947227643501,0.4623530685596154,19.60710713085799
WASP-32 b,835.8929,10.76064,2.71866,0.0394,0.72,0.95,6140.0,-0.13,835.8929,2.922150636387995,1.0318381022042198,0.43435489741583083,77.68059334760758
WASP-24 b,394.1092,15.46842,2.34121,0.03651,1.43,1.42,6075.0,0.0,394.1092,2.5956165730604726,1.189445955565888,0.3694403704462194,25.478310001926506
Kepler-65 c,5.4,2.58,5.859944,0.068,1.25,1.41,6211.0,0.17,5.4,0.7323937598229685,0.41161970596323016,0.7678934657438253,2.0930232558139537
TrES-2 b,473.5667,15.24424,2.47063,0.03568,1.36,1.12,5850.0,-0.15,473.5667,2.6753811563105114,1.183105777534869,0.39280771060238595,31.06528761027116
Kepler-939 b,3.71,1.75,14.878296,0.1153,0.88,0.85,5471.0,-0.12,3.71,0.5693739096150459,0.24303804868629444,1.1725531946390582,2.12
Kepler-1028 b,2.33,1.33,2.51462432,0.0354,0.9,0.87,5522.0,-0.09,2.33,0.367355921026019,0.12385164096708581,0.4004731114842201,1.7518796992481203
HAT-P-67 b,143.02278315,23.9872187,4.8101069,0.06505,1.73,2.62,6640.0,0.14,143.02278315,2.1554052249349365,1.3799798947678494,0.6821547282582858,5.962457963081815
Kepler-1101 b,6.66,2.47,81.3151059,0.3483,0.94,0.91,5614.0,-0.04,6.66,0.8234742291703011,0.39269695325966575,1.9101712319361732,2.6963562753036436
Kepler-1388 b,7.22,2.59,12.2854603,0.0882,0.63,0.61,4098.0,0.02,7.22,0.8585371975696391,0.4132997640812518,1.0893914328555816,2.787644787644788
Kepler-768 b,3.86,1.79,11.3910025,0.092,0.82,0.78,5108.0,-0.03,3.86,0.5865873046717549,0.2528530309798932,1.056561947174716,2.1564245810055866
Kepler-796 b,2.24,1.3,6.40087618,0.07317,0.93,1.09,5475.0,0.09,2.24,0.35024801833416286,0.11394335230683679,0.8062394261861267,1.7230769230769232
Kepler-110 b,4.01,1.83,12.691112,0.107,0.989,1.149,5960.0,-0.1498,4.01,0.6031443726201823,0.26245108973042947,1.1034996768075311,2.191256830601093
Kepler-1042 b,5.43,2.19,10.13202575,0.0756,0.75,0.72,4815.0,-0.1,5.43,0.7347998295888469,0.34044411484011833,1.0056962848560447,2.4794520547945207
Kepler-334 c,2.63,1.43,12.758005,0.107,1.022,1.068,5828.0,-0.012,2.63,0.41995574848975786,0.1553360374650618,1.1057827680191747,1.8391608391608392
Kepler-937 b,13.4,3.72,67.668827,0.3214,1.15,1.22,6095.0,0.08,13.4,1.1271047983648077,0.5705429398818975,1.8303886483049177,3.6021505376344085
Kepler-1117 b,1.41,1.11,4.79028459,0.05485,0.95,0.93,5612.0,0.03,1.41,0.14921911265537988,0.045322978786657475,0.6803613155429823,1.2702702702702702
Kepler-1789 b,8.4,2.83137505,80.23190308,0.3543,0.92,0.888,5436.0,0.12,8.4,0.9242792860618817,0.4519974007522816,1.9043470936775093,2.9667563822037635
Kepler-1831 b,4.54,1.97019818,5.78387022,0.0655,1.117,1.012,6063.0,0.07,4.54,0.6570558528571039,0.29450991354814776,0.7622185395820834,2.304336713984783
Kepler-1245 b,2.67,1.44,4.35409304,0.0484,0.86,0.83,5306.0,-0.01,2.67,0.42651126136457523,0.15836249209524964,0.6388977049822642,1.8541666666666667
Kepler-114 b,1.09,1.26,5.188549,0.053,0.77,0.667,4605.0,0.2291,1.09,0.037426497940623665,0.10037054511756291,0.7150459225115244,0.8650793650793651
Kepler-1105 b,4.7,2.01,4.421572182,0.0471,0.71,0.68,4299.0,0.28,4.7,0.6720978579357175,0.30319605742048883,0.6455767192501477,2.338308457711443
Kepler-187 b,2.57,1.41,4.938864,0.059,1.081,1.287,6105.0,-0.04,2.57,0.4099331233312945,0.14921911265537988,0.6936270672907756,1.822695035460993
Kepler-1379 b,2.24,1.3,0.881841146,0.0171,0.83,0.79,5188.0,-0.04,2.24,0.35024801833416286,0.11394335230683679,-0.054609641205026135,1.7230769230769232
Kepler-304 c,5.35,2.17,5.315946,0.054,0.737,0.687,4731.0,0.03,5.35,0.7283537820212285,0.3364597338485295,0.7255805606790586,2.4654377880184333
Kepler-1291 b,3.39,1.66,8.63043276,0.0779,0.84,0.8,5216.0,-0.04,3.39,0.5301996982030822,0.22010808804005508,0.9360325733012806,2.0421686746987953
Kepler-304 e,1.87,1.2,1.499146953,0.02317,0.8,0.73,4817.0,0.05,1.87,0.27184160653649897,0.07918124604762482,0.17584420639657491,1.5583333333333336
Kepler-461 b,7.18,2.58,8.313783059,0.07895,0.98,0.91,5634.0,0.04,7.18,0.8561244442423003,0.41161970596323016,0.9197986877780341,2.782945736434108
Kepler-1894 b,1.87,1.20117759,2.762660027,0.0385,0.999,0.901,5772.0,0.0,1.87,0.27184160653649897,0.07960722110425997,0.4413274439167535,1.5568056010768567
Kepler-576 b,10.7,3.27,29.91136794,0.179,0.99,0.97,5672.0,0.09,10.7,1.0293837776852097,0.5145477526602861,1.4758362751245513,3.2721712538226297
Kepler-1893 b,3.55,1.70557445,4.179369926,0.0504,0.973,1.162,5633.0,0.16,3.55,0.5502283530550941,0.23187068153789211,0.6211108132853449,2.081410166527764
Kepler-1601 b,0.477,0.82,2.20921951,0.03281,1.04,1.07,5869.0,0.05,0.477,-0.3214816209598861,-0.08618614761628333,0.34423886989833885,0.5817073170731707
Kepler-1922 b,5.86,2.29064904,13.22259998,0.1077,0.953,0.863,5931.0,-0.28,5.86,0.7678976160180907,0.3599585541971551,1.1213168595328176,2.558226903236124
HD 80653 b,5.61,1.621,0.71957926,0.01657,1.15,1.199,5959.0,0.255,5.61,0.7489628612561614,0.20978301484851494,-0.1429213625546115,3.460826650215916
Kepler-1542 d,0.59,0.87,5.99273738,0.0629,0.94,0.99,5564.0,0.06,0.59,-0.22914798835785583,-0.060480747381381476,0.7776252460068626,0.6781609195402298
Kepler-666 b,6.35,2.4,4.49876092,0.0542,1.03,1.05,5887.0,0.01,6.35,0.8027737252919757,0.38021124171160603,0.6530929138404589,2.6458333333333335
Kepler-211 c,18.3,1.29,6.04045,0.062,0.867,0.816,5123.0,0.151,18.3,1.2624510897304295,0.11058971029924898,0.7810692937928261,14.186046511627907
Kepler-203 c,749.9,2.47,5.370647,0.061,1.06,1.114,5821.0,0.08,749.9,2.8750033536000412,0.39269695325966575,0.7300266081583667,303.60323886639674
GJ 674 b,11.09,3.33,4.6938,0.039,0.35,0.36463,3600.0,-0.28,11.09,1.04493154614916,0.5224442335063199,0.6715245806296686,3.33033033033033
OGLE-TR-182 b,320.995,12.666,3.9791,0.051,1.14,1.14,5924.0,0.37,320.995,2.5064982676406307,1.1026394836913,0.599784853673271,25.343044370756356
HD 69830 c,11.8,3.46,31.56,0.186,0.86,0.886947,5385.0,-0.05,11.8,1.0718820073061255,0.5390760987927766,1.4991369945373827,3.410404624277457
GJ 3021 b,1071.04,13.1,133.71,0.49,0.9,0.9,5540.0,0.1,1071.04,3.029805690677683,1.1172712956557642,2.1261638888058387,81.75877862595419
HD 221287 b,982.05,13.1,456.1,1.25,1.25,1.13864,6304.0,-0.03,982.05,2.9921335999776777,1.1172712956557642,2.6590600722409383,74.96564885496183
HD 47536 b,2330.0,12.6,712.13,1.93,2.1,23.47,4380.0,-0.65,2330.0,3.367355921026019,1.100370545117563,2.8525592817394934,184.92063492063494
HD 107148 b,66.741,9.6,48.056,0.269,1.12,1.169193,5797.0,0.314,66.741,1.824392709529267,0.9822712330395684,1.6817476189392988,6.9521875
HD 179949 b,291.12,13.9,3.092514,0.0443,1.21,1.266865,6168.0,0.137,291.12,2.464072042578179,1.1430148002540952,0.4903116743832873,20.94388489208633
HD 188015 b,476.72,13.6,461.2,1.203,1.09,1.125296,5746.0,0.289,476.72,2.67826337241673,1.1335389083702174,2.6638892986226614,35.05294117647059
HD 27442 b,495.8,13.5,428.1,1.271,1.23,3.18,4846.0,0.42,495.8,2.6953065224318027,1.130333768495006,2.631545227834309,36.72592592592593
HD 46375 b,71.8,10.0,3.023573,0.0398,0.92,0.914196,5285.0,0.24,71.8,1.8561244442423004,1.0,0.48052045850983127,7.18
HAT-P-2 b,2866.81223114,10.659759,5.6335158,0.06814,1.33,1.39,6380.0,0.18,2866.81223114,3.457399248701534,1.0277473861020654,0.7507795166957466,268.9378091136958
HD 109749 b,85.8141,11.1,5.239891,0.0615,1.13,1.22,5824.0,0.24,85.8141,1.9335586520572245,1.0453229787866574,0.7193222529014964,7.731
HD 149143 b,422.7139,13.6,4.07182,0.053,1.2,1.44,5856.0,0.29,422.7139,2.626046528865323,1.1335389083702174,0.6097885712111714,31.081904411764707
HD 224693 b,222.481,14.0,26.6904,0.191,1.31,1.93,5894.0,0.27,222.481,2.3472929279124943,1.146128035678238,1.4263550824608322,15.891499999999999
HD 231701 b,359.1479,13.7,141.63,0.567,1.21,1.53,6101.0,0.05,359.1479,2.555273331381657,1.1367205671564067,2.1511552551509174,26.21517518248175
HIP 14810 b,1239.537,13.0,6.673892,0.0696,1.01,1.07,5544.0,0.24,1239.537,3.0932594949247365,1.1139433523068367,0.8243791744219275,95.349
HIP 14810 d,187.5197,14.1,981.8,1.94,1.01,1.07,5544.0,0.24,187.5197,2.2730468995403816,1.14921911265538,2.9920230277638504,13.2992695035461
HD 207832 b,177.9848,14.2,160.07,0.586,1.05,0.89,5726.0,0.14,177.9848,2.2503829149044376,1.1522883443830565,2.2043099449405372,12.534140845070423
HD 37605 c,1013.8777,13.1,2720.0,3.74,0.94,0.91,5329.0,0.27,1013.8777,3.0059855709554184,1.1172712956557642,3.4345689040341987,77.39524427480916
