pl_name,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,st_mass,st_rad,st_teff,st_met
HD 2039 b,1999.1507,12.7,1120.0,2.2,1.23,1.19,5945.0,0.3
HAT-P-8 b,406.8224,15.6926,3.07634,0.04496,1.27,1.57,6200.0,0.01
K2-43 b,18.5,4.51,3.471149,0.03784,0.571,0.542,3840.6,
Kepler-1753 b,5.59,2.22678077,16.00460052,0.1179,0.86,0.769,5180.0,0.0
Kepler-1176 b,6.57,2.45,24.1738579,0.1589,1.01,1.02,5844.0,-0.01
K2-126 b,4.54,1.97,7.385655,0.0656,0.69,0.65,4339.0,0.02
Kepler-1263 b,1.55,1.14,4.55139967,0.0499,0.84,0.8,5213.0,-0.03
Kepler-1416 b,0.615,0.88,1.49514952,0.0257,1.09,1.15,6019.0,0.03
Kepler-1542 c,0.208,0.65,2.89223021,0.0387,0.94,0.99,5564.0,0.06
K2-85 b,3.2,1.4,0.68453862616,0.013,0.7,0.71,4232.0,0.14
Kepler-368 c,14.3,3.88,72.379334,0.36,1.165,2.019,5502.0,0.03
K2-123 b,8.05,2.76,30.951524,0.1649,0.62,0.59,4035.0,0.03
Kepler-770 b,5.9,2.3,18.92540274,0.1694,0.94,0.92,5598.0,-0.01
Kepler-1399 b,2.1,1.25,1.638653058,0.0276,0.97,0.96,5735.0,-0.03
Kepler-723 b,,12.19,4.082275068,0.0479,0.92,0.89,5539.0,0.0
K2-107 b,266.9772,15.98,3.313959,0.0475,1.3,1.81,6061.0,0.14
K2-45 b,36.4,6.71,1.7292684,0.0224,0.503,0.445,4103.0,
K2-365 b,8.78,2.906,23.448172,,0.823,1.051,5561.0,-0.021
K2-127 b,52.9,8.37,3.588163,0.0411,0.72,0.66,4575.0,-0.11
K2-195 b,9.96,3.13,15.852975,0.1208,0.94,0.99,5713.0,-0.1
K2-80 c,2.76,1.47,5.605,0.0596,0.9,0.87,5441.0,0.07
K2-229 c,7.0,2.03,8.32727,0.0769,0.87,0.79,5315.0,-0.09
HAT-P-3 b,206.5895,10.53646,2.8997,0.03866,1.06,0.87,5185.0,0.27
WASP-32 b,835.8929,10.76064,2.71866,0.0394,0.72,0.95,6140.0,-0.13
WASP-24 b,394.1092,15.46842,2.34121,0.03651,1.43,1.42,6075.0,0.0
Kepler-65 c,5.4,2.58,5.859944,0.068,1.25,1.41,6211.0,0.17
TrES-2 b,473.5667,15.24424,2.47063,0.03568,1.36,1.12,5850.0,-0.15
Kepler-939 b,3.71,1.75,14.878296,0.1153,0.88,0.85,5471.0,-0.12
Kepler-1028 b,2.33,1.33,2.51462432,0.0354,0.9,0.87,5522.0,-0.09
HAT-P-67 b,143.02278315,23.9872187,4.8101069,0.06505,1.73,2.62,6640.0,0.14
Kepler-1101 b,6.66,2.47,81.3151059,0.3483,0.94,0.91,5614.0,-0.04
Kepler-1388 b,7.22,2.59,12.2854603,0.0882,0.63,0.61,4098.0,0.02
Kepler-768 b,3.86,1.79,11.3910025,0.092,0.82,0.78,5108.0,-0.03
Kepler-796 b,2.24,1.3,6.40087618,0.07317,0.93,1.09,5475.0,0.09
Kepler-110 b,4.01,1.83,12.691112,0.107,0.989,1.149,5960.0,-0.1498
Kepler-1042 b,5.43,2.19,10.13202575,0.0756,0.75,0.72,4815.0,-0.1
Kepler-334 c,2.63,1.43,12.758005,0.107,1.022,1.068,5828.0,-0.012
Kepler-937 b,13.4,3.72,67.668827,0.3214,1.15,1.22,6095.0,0.08
Kepler-1117 b,1.41,1.11,4.79028459,0.05485,0.95,0.93,5612.0,0.03
Kepler-1789 b,8.4,2.83137505,80.23190308,0.3543,0.92,0.888,5436.0,0.12
Kepler-1831 b,4.54,1.97019818,5.78387022,0.0655,1.117,1.012,6063.0,0.07
Kepler-1245 b,2.67,1.44,4.35409304,0.0484,0.86,0.83,5306.0,-0.01
Kepler-114 b,1.09,1.26,5.188549,0.053,0.77,0.667,4605.0,0.2291
Kepler-1105 b,4.7,2.01,4.421572182,0.0471,0.71,0.68,4299.0,0.28
Kepler-187 b,2.57,1.41,4.938864,0.059,1.081,1.287,6105.0,-0.04
Kepler-1379 b,2.24,1.3,0.881841146,0.0171,0.83,0.79,5188.0,-0.04
Kepler-304 c,5.35,2.17,5.315946,0.054,0.737,0.687,4731.0,0.03
Kepler-1291 b,3.39,1.66,8.63043276,0.0779,0.84,0.8,5216.0,-0.04
Kepler-304 e,1.87,1.2,1.499146953,0.02317,0.8,0.73,4817.0,0.05
Kepler-461 b,7.18,2.58,8.313783059,0.07895,0.98,0.91,5634.0,0.04
Kepler-1894 b,1.87,1.20117759,2.762660027,0.0385,0.999,0.901,5772.0,0.0
Kepler-576 b,10.7,3.27,29.91136794,0.179,0.99,0.97,5672.0,0.09
Kepler-1893 b,3.55,1.70557445,4.179369926,0.0504,0.973,1.162,5633.0,0.16
Kepler-1601 b,0.477,0.82,2.20921951,0.03281,1.04,1.07,5869.0,0.05
Kepler-1922 b,5.86,2.29064904,13.22259998,0.1077,0.953,0.863,5931.0,-0.28
